DayOfWeek,Date,Sales,Customers,Open,Promo,SchoolHoliday,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,StoreType_a,StoreType_c,StoreType_d,Assortment_a,Assortment_c,Store_1,Store_10,Store_11,Store_12,Store_13,Store_14,Store_15,Store_16,Store_17,Store_18,Store_19,Store_2,Store_20,Store_3,Store_4,Store_5,Store_6,Store_7,Store_8,Store_9,sin_dia_do_mes,cos_dia_do_mes,sin_mes,cos_mes
5,2015-04-03,0,0,0,1,1,0,0,1,0,1270.0,9.0,2008.0,0,14.0,2011.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,570.0,11.0,2007.0,1,13.0,2010.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,620.0,9.0,2009.0,0,14.0,2011.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,29910.0,4.0,2015.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,310.0,12.0,2013.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,24000.0,4.0,2013.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,7520.0,10.0,2014.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,2030.0,8.0,2000.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,3160.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
5,2015-04-03,0,0,0,1,1,0,0,1,0,960.0,11.0,2011.0,1,1.0,2012.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998
